id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main9-1,bg,computer00
main9-1,wait,3
main9-1,talk,,イツカが話したことは、すべて彼女の想像だった。
main9-1,talk,,誰かと繋がるために、感染者は、変容している──
main9-1,talk,,そうだろうか？
main9-1,talk,,出会った感染者の中には、とてもそうとは思えないものに変容していた者だって、たくさんいたように思う。
main9-1,talk,,寂しさが募り募って、人の身体があんな風に変わってしまうとは思えない。
main9-1,talk,,けれど──
main9-1,talk,,たった一つだけ、
main9-1,talk,,確かなこともある。
main9-1,wait,1
main9-1,talk,,彼女が語った、
main9-1,talk,,その、最後の一言だけは、
main9-1,talk,,確かだった。
main9-1,wait,1
main9-1,fadeOutTextLine
main9-1,newPage
main9-1,fadeInTextLine
main9-1,wait,3
main9-1,talk,,このコンピュータの中で、仮想世界が動いている。
main9-1,talk,,六十年も前──
main9-1,talk,,まだ、祖母が生きていた頃から。
main9-1,wait,1
main9-1,talk,,そして、このコンピュータがどことも通信していないということは。
main9-1,talk,,それなのに、彼女たちの世界と繋がっているということは。
main9-1,talk,,ナツノやイツカの生きる世界は、
main9-1,wait,1
main9-1,talk,,このコンピュータの中に──ある。
main9-1,wait,3
main9-1,end,questSuccess
-,,,
main9-2,bg,scenario03
main9-2,fgClear
main9-2,hideStatus
main9-2,playBgm,environment08
main9-2,wait,2
main9-2,talk,itsuka,あなたたちは......
main9-2,talk,itsuka,どうして、それを『天国』なんて呼ぶようになったんだろう
main9-2,talk,itsuka,......
main9-2,wait,1
main9-2,fg,survivor06,right-right,0.5
main9-2,talk,itsuka,......あの人からも
main9-2,playBgm,scenario03
main9-2,talk,itsuka,あなたの祖母からも、何度かその言葉を聞いたことがある
main9-2,talk,itsuka,だから、『天国』というのがどういうものなのか、なんとなく、知ってる
main9-2,talk,itsuka,いくつもの仮想世界でできた、天国
main9-2,talk,itsuka,あなたたちは、死者を蘇らせるために『天国』をつくったんじゃないし、
main9-2,talk,itsuka,死者とお話するために『天国』をつくったわけでもない
main9-2,talk,itsuka,自分たちが死んだあと、いくところをつくりたかった......っていうのも違う
main9-2,talk,itsuka,その『天国』には、死んだ人や、まだ生きてる人と同じ人が住んでるかもしれないけど、
main9-2,talk,itsuka,でも、あくまで別の世界で、あなたたち自身がいるわけじゃない
main9-2,talk,itsuka,あなたの祖母の言葉を借りると、
main9-2,talk,itsuka,『天国』は、研究のためにつくられた巨大なコンピュータ群
main9-2,talk,itsuka,......私たちの世界でいうと、スーパーコンピュータみたいなものだと思う
main9-2,talk,itsuka,そこで無数の仮想世界が動いていて
main9-2,talk,itsuka,いろんな研究のための計算や、仮想世界そのものを調べるための実験が行われてる
main9-2,talk,itsuka,『天国』は、あくまで研究施設で
main9-2,talk,itsuka,あなたたちは寂しくて『天国』をつくったんじゃない
main9-2,talk,itsuka,生きてる人も、死んでいる人だって、そこで暮らしてるだろうって想像から
